brand,channel,distinct_conversions,total_revenue,total_ad_spend,first_touch_revenue,last_touch_revenue,linear_revenue,time_decay_revenue,u_shaped_revenue,u_shaped_roas
MaleExcel,Podcast,479,392503.0,9745.0,172861.0,175828.0,170574.35,171419.25,172782.19,17.73
FemExcel,YouTube,227,162445.0,2210.0,73673.0,79338.0,77832.82,78847.15000000001,77322.04,34.99
FemExcel,Referral,105,83525.0,3692.0,27723.0,44454.0,36680.93,39807.56,36558.11,9.9
MaleExcel,SMS,195,134340.0,75.2,48202.0,58640.0,58797.56,61533.35999999999,56456.44,750.75
FemExcel,Review Sites,182,124092.0,2106.0,70214.0,46405.0,55383.11,52103.32,56872.03,27.0
MaleExcel,Review Sites,262,194484.0,3316.0,91219.0,93190.0,93728.22,91610.34999999999,93212.59,28.11
FemExcel,Paid Search,337,280243.0,7094.0,120893.0,114762.0,122250.85,119795.79000000001,119955.85,16.91
MaleExcel,Paid Social,448,356729.0,5382.0,166897.0,168556.0,162227.13,161946.27000000002,164939.61,30.65
MaleExcel,Referral,150,106233.0,5066.0,36050.0,28890.0,35911.86,34096.75,34096.7,6.73
FemExcel,Email,192,126941.0,171.0,64541.0,57273.0,56578.45,55023.56999999999,59056.33,345.36
MaleExcel,Paid Search,442,343282.0,10880.0,146832.0,122522.0,138720.94,132475.83000000002,135770.85,12.48
FemExcel,SMS,92,59189.0,41.42,15478.0,28037.0,21809.84,23086.489999999998,21927.4,529.39
MaleExcel,YouTube,439,327320.0,4564.0,140600.0,153553.0,140317.5,144492.14,143565.65,31.46
MaleExcel,Email,322,223311.0,285.1,91444.0,92926.0,93827.24,96531.08,93281.02,327.19
FemExcel,Paid Social,346,273154.0,4332.0,125016.0,137013.0,125992.63,129090.26999999999,128696.95,29.71
FemExcel,Pinterest,228,153877.0,1490.4,59086.0,58709.0,67399.62,67395.22,62409.02,41.87
FemExcel,Podcast,257,199246.0,4568.0,97036.0,87669.0,89731.66,88510.51999999999,90862.15,19.89

